kata_tidak_baku,kata_baku
bagusa,bagusnya
petujuk,petunjuk
jorokumpatan,jorok umpatan
donlod,download
setau,setahu
mksih,terima kasih
dgumakanx,digunakannya
mimilih,memilih
bagussangat,bagus sangat
kga,tidak
semogq,semoga
mqkin,makin
trangalek,trenggalek
uptdate,update
trengalek,trenggalek
spedometer,spidometer
motormobil,motor mobil
setabil,stabil
erorawalnya,error awalnya
kekiripas,ke kiri pas
kananjujur,kanan jujur
tinginya,tingginya
fres,segar
bosenin,membosankan
trukmobil,truk mobil
pribadipenumpang,pribadi penumpang
updetmengangu,update mengganggu
efiesiensi,efisiensi
kebanyaka,kebanyakan
lumyan,lumayan
erorke,error ke
putartidak,putar tidak
perhatikantrima,perhatikan terima
kemanu,kemana
menyenangkandan,menyenangkan dan
inikarena,ini karena
besarkarena,besar karena
bagaimna,bagaimana
ditolakterus,ditolak terus
masuka,masukan
perjalananmantap,perjalanan mantap
mantaptolong,mantap tolong
perbaruhi,perbarui
schedule,jadwal
inacurate,tidak akurat
such,seperti
where,di mana
serve,melayani
intercity,antarkota
given,diberikan
confusing,membingungkan
path,jalur
unfixed,tidak tetap
maybe,mungkin
case,kasus
had,punya
stars,bintang
bagussemoga,bagus semoga
bermanfatuntuk,bermanfaat untuk
barokahamin,berkah amin
titk,titik
sayathaks,saya terima kasih
akuras,akurasi
perjalananm,perjalananmu
apnya,ap-nya
oiy,oh iya
peruntukanya,peruntukannya
qo,kok
yasama,ya sama
updatemakin,update makin
yaagar,ya agar
bereti,berarti
lamlu,lampu
yangbpaling,yang paling
dank,terima kasih
nyampek,sampai
hafalin,hafalkan
ngomongnya,bicaranya
kukurilingan,berputar-putar
turutin,turuti
parahj,parah
tempattempat,tempat-tempat
jembud,jembut
nulis,menulis
sepeserpun,sepeser pun
itupun,itu pun
kalin,kalian
masterpiece,karya agung
cpt,cepat
valit,valid
raihmalah,raih malah
mutartolong,berputar tolong
perbaikititik,perbaiki titik
sesuainanti,sesuai nanti
brarti,berarti
hny,hanya
prlu,perlu
nmbahin,menambahkan
spedamotor,sepeda motor
kesasaehugf,kesasar
ordal,orang dalam
ngadelin,mengandalkan
merekomen,merekomendasikan
mntaf,mantap
rejeki,rezeki
hot,panas
akuratsuka,akurat suka
audiences,penonton
worldwide,seluruh dunia
ngantar,mengantar
mardeka,merdeka
ginisaya,begini saya
keljalur,ke jalur
ngebuk,nge-bug
mnantang,menantang
seruh,seru
akuratberikut,akurat berikut
bisnispadahal,bisnis padahal
disi,di sini
akurattetapi,akurat tetapi
gagaltolong,gagal tolong
gacorin,buat laris
multitasking,multitugas
perubahana,perubahan
menyeseatkan,menyesatkan
asutolonglah,anjing tolonglah
ajajgn,saja jangan
auzubilah,audzubillah
bangetyg,banget yang
sanakan,laksanakan
dulutak,dulu tak
seklali,sekali
tingisinyal,tinggi sinyal
peruntukantapi,peruntukan tapi
buntutolong,buntu tolong
agpsglonas,agps glonass
beidouqzssbas,beidou qzss sbas
lempt,lemot
pemakain,pemakaian
komnt,komen
translate,terjemahan
sophe,shopee
tepatmakanya,tepat makanya
dealey,delay
ring,cincin
dizinkan,diizinkan
ngeblok,mengeblok
berarty,berarti
busuktitik,busuk titik
ngacomelenceng,ngaco melenceng
lemothp,lemot hp
akurai,akurat
lemahsudah,lemah sudah
akurasinuaperbaiki,akurasinya perbaiki
lalowd,lelet
interview,wawancara
gajelastolong,tidak jelas tolong
diperbaikisoalnya,diperbaiki soalnya
kerugiandelay,kerugian delay
bagusgak,bagus tidak
akuratun,akurat
cewa,kecewa
lebihmudah,lebih mudah
nyasangat,nya sangat
dibagusin,diperbaiki
jauhteru,jauh terus
titikaneh,titik aneh
ngitung,menghitung
mimin,admin
jlssusah,jelas susah
kedetek,terdeteksi
gpsjdi,gps jadi
keteranganya,keterangannya
mapuntung,map untung
ampasbos,buruk bos
surih,suruh
gate,gerbang
ril,asli
trmakasih,terima kasih
kalibirasi,kalibrasi
lemotperbaiki,lemot perbaiki
akuratjadi,akurat jadi
finding,menemukan
planing,perencanaan
trips,perjalanan
stresfre,bebas stres
tujudi,tujuh di
paret,parit
besarhm,besar hm
hadeuh,haduh
kesawah,ke sawah
dimapsnya,di maps-nya
terakir,terakhir
kelokasi,ke lokasi
mamfat,manfaat
bagussudah,bagus sudah
pebih,lebih
hutangunungsawahdan,hutan gunung sawah dan
kekayan,kekayaan
bermanfar,bermanfaat
ramahramah,ramah-ramah
perawatnyaterima,perawatnya terima kasih
bgd,banget
mapsnyahabis,maps-nya habis
sebenarnyajarak,sebenarnya jarak
seriously,serius
goglemaps,google maps
bayik,baik
gmpang,gampang
updeit,update
closed,tutup
benerintrmksh,perbaiki terima kasih
menghapal,menghafal
motorhilang,motor hilang
jakartasedangkan,jakarta sedangkan
jatimjawa,jatim jawa
setelanseting,setelan setting
bugsnya,bug-nya
kanapa,kenapa
lurusmenyesatkan,lurus menyesatkan
mendownloadmengistal,mendownload menginstal
sory,maaf
trukwingboxbus,truk wingbox bus
trmskash,terima kasih
mosok,masa sih
egak,tidak
gedeg,kesal
jazakumulah,jazakumullah
kambal,kembali
isnt,bukan
updatedit,di-update
years,tahun
ago,lalu
disediain,disediakan
kusus,khusus
trucknya,truknya
berheti,berhenti
youtup,youtube
pindahkalau,pindah kalau
rumahudah,rumah sudah
samasaya,sama saya
mapssebagai,maps sebagai
louding,loading
ditungu,ditunggu
mbntu,membantu
cobalokasi,coba lokasi
dimanathulul,di mana dahulu
teransfaran,transparan
continue,lanjutkan
ajakhahsjsjsjhsvwjqh,saja
slanjutnya,selanjutnya
autoclose,tutup otomatis
bwrmanfat,bermanfaat
perjalanansy,perjalanan saya
lemanyan,lumayan
mapsbru,maps baru
udplod,upload
mudahbravo,mudah bravo
resmidan,resmi dan
sekarnag,sekarang
hadiahnyahaox,hadiahnya hoaks
jarumnyasukaberubaharah,jarumnya suka berubah arah
pokonamah,pokoknya
masukanya,masukannya
onbid,on bid
yogjakarta,yogyakarta
dgunakanmales,digunakan malas
perkembanganya,perkembangannya
tumbur,tabrak
yaudah,ya sudah
disapointed,kecewa
turns,ternyata
acesed,diakses
certain,tertentu
areas,area
seharus,seharusnya
ngacok,ngaco
owner,pemilik
pen,ingin
kalibrasiketerangan,kalibrasi keterangan
sharelive,bagikan lokasi langsung
hri,hari
berboden,verboden
pencitran,pencitraan
satelitefoto,foto satelit
beguna,berguna
us,kita
destiny,takdir
quick,cepat
oerjalanan,perjalanan
baiktapi,baik tapi
wlpn,walaupun
pleset,peleset
nying,anjing
hiks,sedih
mabnya,maps-nya
bitang,bintang
awalny,awalnya
blnja,belanja
bagunan,bangunan
pervect,sempurna
bajarnegara,banjarnegara
nekan,menekan
kaliberasi,kalibrasi
kemo,ke mana
adek,adik
kaia,kaya
gni,begini
kesimpen,tersimpan
kodinat,koordinat
meberitau,memberitahu
resfect,hormat
tembusinlah,tembuskanlah
goplok,goblok
kabupatn,kabupaten
chace,cache
disinilah,di sinilah
ngecek,mengecek
stelan,setelan
aktitas,aktivitas
ngestuck,stuck
skurasikn,akurasikan
post,unggah
wew,wow
kaktektp,kaktek
mepsberi,maps beri
lancaramin,lancar amin
akunmantaptrima,akun mantap terima kasih
pasisir,pesisir
panai,pantai
rincianya,rinciannya
kecamayan,kecamatan
aplikasinyamasak,aplikasinya masak
bangetemang,banget memang
kamatian,kematian
inisemoga,ini semoga
bw,bawa
polihan,pilihan
teranjur,terlanjur
jembot,jembut
lamabat,lambat
jalnya,jalannya
dsbny,dan sebagainya
kesasardan,kesasar dan
gerakpas,gerak pas
biasabanyak,biasa banyak
membantuapalgi,membantu apalagi
montor,motor
disamping,di samping
yeah,ya
penujuk,penunjuk
akuratmudah,akurat mudah
mapspenunjuk,maps penunjuk
jejas,jelas
musah,mudah
ikutirutenya,ikuti rutenya
efisen,efisien
thu,tahu
kinekerjanyamakin,kinerjanya makin
updete,update
belun,belum
tandafitur,tanda fitur
realtime,real-time
stelah,setelah
nyamutar,nya memutar
timenya,waktunya
seksli,sekali
peroses,proses
jobs,pekerjaan
dach,dah
guwa,saya
yasar,nyasar
jels,jelas
toll,tol
mbk,mbak
gpstrs,gps terus
law,hukum
koyok,seperti
taekmosok,tahi masa sih
apliksi,aplikasi
nuduh,menuduh
nyelesaikan,menyelesaikan
tujuanmakane,tujuan makanya
lek,kalau
oercoyo,percaya
ojok,jangan
turu,tidur
batrai,baterai
udan,hujan
ngestag,stuck
akut,akurat
patokanya,patokannya
berjalanjalan,berjalan-jalan
nelaca,melacak
reti,berhenti
lagipadahal,lagi padahal
mapssekarag,maps sekarang
dontol,tolol
ngubah,mengubah
rendahtidak,rendah tidak
tingiberesiko,tinggi berisiko
enough,cukup
payahcek,payah cek
pasdiupdate,pas di-update
brigjend,brigjen
yak,iya
reinstal,instal ulang
trlihat,terlihat
erort,error
jelasgimana,jelas bagaimana
jelasnyusahin,jelas menyusahkan
dipilihin,dipilihkan
jalansempit,jalan sempit
fan,penggemar
biet,beat
takse,taksi
bagussemua,bagus semua
ampu,ampuh
sedikitsinyal,sedikit sinyal
hilangmacetgak,hilang macet tidak
lagitidak,lagi tidak
mngunakan,menggunakan
akuransi,akurasi
erorkita,error kita
samasekali,sama sekali
menelusurinyagogle,menelusurinya google
mapy,map-nya
kalou,kalau
bagusmbatu,bagus membantu
nti,nanti
lokasimasa,lokasi masa
orangkan,orang kan
okmantap,oke mantap
jalas,jelas
banyakin,perbanyak
erorapdate,error update
lamatidak,lama tidak
bedakanbiar,bedakan biar
keciltrimakasih,kecil terima kasih
sukaini,suka ini
ioenak,enak
operating,operasi
kokia,kok ya
berta,bertanya
lni,ini
lancarin,lancarkan
menganti,mengganti
boy,anak laki-laki
gmnako,bagaimana kok
membantukan,membantu
bike,motor
yamaps,ya maps
ngbug,nge-bug
perjlanan,perjalanan
setambil,stabil
prebaiki,perbaiki
lifesaver,penyelamat
downwhether,sedang turun
loking,melihat
trying,mencoba
especialy,khususnya
headsetnya,headset-nya
kalibrasikarena,kalibrasi karena
kasiknya,kasihnya
pekok,bodoh
pendendara,pengendara
titiknta,titiknya
ki,iki
andelin,mengandalkan
kedalam,ke dalam
munculmuncul,muncul-muncul
skr,sekarang
soalny,soalnya
explore,jelajah
adasaya,ada saya
pakaikendaran,pakai kendaraan
bawadan,bawa dan
nitikin,menandai titik
anter,antar
bermampat,bermanfaat
alamatrute,alamat rute
ngatur,mengatur
sono,sana
gokar,go-car
grabcar,grab-car
memempuh,menempuh
mapsmu,maps-mu
dev,pengembang
klen,kalian
pareasi,variasi
ship,kapal
engaknya,tidaknya
mapstolong,maps tolong
aspalmisal,aspal misal
lainterima,lain terima kasih
tried,mencoba
ordering,memesan
fresh,segar
maintained,terpelihara
comitment,komitmen
excelence,keunggulan
bermanfay,bermanfaat
congratulations,selamat
perjalanku,perjalananku
maftest,map test
lokasicuma,lokasi cuma
mapsku,maps-ku
iklanya,iklannya
trm,terima
terjangkaulain,terjangkau lain
mantapz,mantap
sekedar,sekadar
digogle,di google
menulusuri,menelusuri
nyalahin,menyalahkan
mapntah,map mentah
jlek,jelek
ato,atau
makenya,pakainya
usal,usul
laoran,laporan
tersedua,tersedia
berfunsi,berfungsi
diukang,diulang
kadangkaga,kadang tidak
ditentuin,ditentukan
careful,hati-hati
didnt,tidak
matched,cocok
mean,artinya
actual,sebenarnya
check,cek
twice,dua kali
almost,hampir
fal,gagal
canyongapravinegorge,jurang
bngke,bangkai
okeklok,oke kalau
menusuri,menelusuri
dgunakan,digunakan
improve,meningkatkan
lagibiar,lagi biar
seringbeberapa,sering beberapa
diupdatediperbarui,di-update diperbarui
jadijadi,jadi-jadi
pondasi,fondasi
seblm,sebelum
rutu,rute
gercep,gerak cepat
rendahposisi,rendah posisi
distasiun,di stasiun
jalansudah,jalan sudah
cihtpi,sih tapi
inisalam,ini salam
sebel,sebal
ydah,ya sudah
payahlambat,payah lambat
akuratcoba,akurat coba
stategis,strategis
akurasian,akurasi
zone,zona
krom,chrome
dilapangan,di lapangan
lebihbaik,lebih baik
tigkatkan,tingkatkan
byar,biar
bintagnya,bintangnya
kesejahteran,kesejahteraan
clasic,klasik
mohan,mohon
mutarmutar,memutar-mutar
tah,tahu
tw,tahu
singkronisasi,sinkronisasi
custumer,pelanggan
gocar,go-car
susa,susah
alterik,alternatif
napa,kenapa
belin,belikan
bensinya,bensinnya
riview,ulasan
syekali,sekali
lam,lama
hilangsudah,hilang sudah
uninstaldi,uninstal di
tampiltolong,tampil tolong
mengeceklokasikodamjaya,mengecek lokasi kodam jaya
cilitanjakarta,cililitan jakarta
samapi,sampai
cmn,cuma
cpet,cepat
tujukin,tunjukkan
sesusai,sesuai
trimksh,terima kasih
apalikasinya,aplikasinya
murotal,murottal
menikmatin,menikmati
masyalah,masalah
jump,lompat
jumping,melompat
baiw,baik
sepedamotor,sepeda motor
gblk,goblok
gomap,go-map
permantap,mantapkan
tujutrimakasih,tuju terima kasih
kekasar,kesasar
kitu,begitu
kos,indekos
pie,bagaimana
ndalan,di jalan
kangelan,kesulitan
terabdate,ter-update
nich,ini
antap,mantap
terahakan,terarahkan
updategmn,update bagaimana
updte,update
ribetketik,ribet ketik
cilicin,cililin
inisupaya,ini supaya
sendiritapi,sendiri tapi
bkrja,bekerja
kususnya,khususnya
pembharuan,pembaharuan
anehsy,aneh saya
lha,lah
gadatiap,tidak ada tiap
jaraknyatlong,jaraknya tolong
rame,ramai
dbuka,dibuka
woltermongisidi,wolter mongisidi
klaw,kalau
jauhin,jauhkan
nyamasa,nya masa
cakepkemana,bagus ke mana
riski,rezeki
tdi,tadi
extrem,ekstrem
sholat,salat
ofroad,offroad
bapakau,bapakmu
lagijuga,lagi juga
puterputer,putar-putar
dam,dan
tersrsat,tersesat
pangalaman,pengalaman
danedukasi,dan edukasi
lagisekian,lagi sekian
kagok,tanggung
kurirterima,kurir terima kasih
specific,spesifik
stretview,street view
terahir,terakhir
ngeblankrute,ngeblank rute
kliatan,kelihatan
susahsama,susah sama
susahkita,susah kita
andalkanterimakasih,andalkan terima kasih
ajh,saja
gugle,google
photos,foto
sync,sinkronisasi
changed,berubah
posible,mungkin
scam,penipuan
telponya,teleponnya
dulujlur,dulu jalur
sesuaigak,sesuai tidak
tempuhngaco,tempuh ngaco
mkanan,makanan
aplg,apalagi
pelembang,palembang
lipo,lippo
daerh,daerah
smping,samping
sego,nasi
ndok,telur
asihpkny,terima kasih pokoknya
jnan,jalan
karana,karena
lwt,lewat
kebiasan,kebiasaan
brasi,kalibrasi
terustolong,terus tolong
iniselalu,ini selalu
erorbahkan,error bahkan
ngacosaya,ngaco saya
aplnya,aplikasinya
buruktidak,buruk tidak
tepatkadang,tepat kadang
siningeselin,sini menyebalkan
perajalanan,perjalanan
stupid,bodoh
ngupdete,update
diperbaki,diperbaiki
compas,kompas
exist,ada
again,lagi
fahami,pahami
jipies,gps
manta,mantap
diperbaik,diperbaiki
disepanjang,di sepanjang
gears,peralatan
autonomous,otonom
erorlemotpadahal,error lemot padahal
thats,itu
reason,alasan
apear,muncul
ooi,oi
hire,rekrut
perjalanantidak,perjalanan tidak
hmpir,hampir
wlpun,walaupun
ditengh,di tengah
bedahkan,bedah
pwrjalanan,perjalanan
saha,siapa
nyadan,nya dan
ngereview,ulas
diprofil,di profil
diungah,diunggah
publish,publikasikan
bedain,bedakan
banyang,bayang
covok,cocok
adm,admin
kluada,kalau ada
updating,memperbarui
runing,berjalan
hank,hang
siji,satu
bida,bisa
bukany,bukannya
senamnya,senangnya
nganter,antar
klabirasi,kalibrasi
kacaukacau,kacau-kacau
jelaspayah,jelas payah
oderanya,orderannya
anjr,anjir
gl,google
kearah,ke arah
dihilangin,dihilangkan
bergu,berguna
bia,bisa
versj,versi
memilai,memulai
neh,nih
asliit,asli itu
taubelok,tahu belok
lagimaps,lagi maps
ngekor,mengekor
dibelakanguntung,di belakang untung
ajagw,saja saya
lagiudh,lagi sudah
mntab,mantap
qt,kita
berasatitik,berasa titik
menyenangkanpelayananya,menyenangkan pelayanannya
ramahsetelah,ramah setelah
kesakitanpokoknya,kesakitan pokoknya
bestterima,terbaik terima kasih
sampaidan,sampai dan
pelangankonsumen,pelanggan konsumen
dimafkan,dimaafkan
olh,oleh
ajadan,saja dan
sayatapi,saya tapi
bgusin,baguskan
dinaki,dinaiki
bisatapi,bisa tapi
mesinya,mesinnya
upgradenya,update-nya
bangjo,lampu merah
ea,ya
jatuhin,jatuhkan
king,raja
nyasarcoba,nyasar coba
stabilin,stabilkan
ngestuk,stuck
bes,bis
ngeblas,nge-blank
oarah,parah
lokasiterima,lokasi terima kasih
mesjid,masjid
rohmat,rahmat
padahan,padahal
meliat,melihat
kecilterimakasih,kecil terima kasih
bertangung,bertanggung
duit,uang
budget,anggaran
wokeh,oke
pinter,pintar
lumayancumn,lumayan cuma
yag,yang
membantutrimakasih,membantu terima kasih
hutanaku,hutan aku
kelehat,kelihat
nyuhasin,menyusahkan
menpermudah,mempermudah
disturbing,mengganggu
recomendation,rekomendasi
padahl,padahal
nyatareal,nyata real
pesen,pesan
ta,tahu
didudukin,diduduki
gtrackjd,g-track jadi
tq,terima kasih
bermututolong,bermutu tolong
thui,tahu
baiknlagi,baik lagi
rutemulai,rute mulai
balum,belum
golek,cari
kerjain,kerjakan
pentingmembantu,penting membantu
pejuk,petunjuk
ngecoh,mengecoh
tun,itu
sblom,sebelum
lncar,lancar
kerjanyanya,kerjanya
penampilanya,penampilannya
serlive,bagikan lokasi
nangung,tanggung
jlk,jelek
pki,pakai
heart,hati
kesian,kasihan
rispek,hormat
selau,selalu
delaygk,delay tidak
subhanalah,subhanallah
lhoh,loh
beroperasinyaselalu,beroperasinya selalu
convenient,nyaman
anymore,lagi
caf,kafe
wil,wilayah
shop,toko
proper,layak
bunch,banyak
found,ketemu
heck,waduh
brighten,mencerahkan
dikalibrasilkan,dikalibrasikan
diatas,di atas
pea,bodoh
perbaikikadang,perbaiki kadang
jhon,john
amplikasi,aplikasi
membantuh,membantu
kesemula,ke semula
sbulan,sebulan
lalatod,lambat
ongkir,ongkos kirim
mnfat,manfaat
acuratelyi,dengan akurat saya
rely,bergantung
heavily,sangat
avoid,hindari
jams,kemacetan
range,rentang
information,informasi
tourist,wisatawan
atractions,atraksi
absolutely,mutlak
friendly,ramah
led,dipimpin
bosnis,bisnis
tikuswkwkwk,tikus (tertawa)
calibration,kalibrasi
done,selesai
using,menggunakan
gadak,tidak ada
kudu,harus
back,kembali
plise,tolong
nglantur,ngelantur
motorkembalin,motor kembalikan
mapnyabisa,map-nya bisa
kemanamanadan,ke mana-mana dan
makn,makan
lau,kalau
mkasih,terima kasih
buruksering,buruk sering
buntubahkan,buntu bahkan
ps,pas
segerah,segera
ditempatbug,di tempat bug
solusinyaterima,solusinya terima kasih
diperbaruhui,diperbarui
arahpadahal,arah padahal
gantitolong,ganti tolong
udahku,sudah ku
tanguhkan,tangguhkan
kerjany,kerjanya
kasihsangat,kasih sangat
menemuka,menemukan
amsyong,celaka
tbtb,tiba-tiba
reviewnya,ulasannya
nolongin,menolong
membantudalam,membantu dalam
tracking,pelacakan
areaasal,area asal
seprti,seperti
dluskrg,dulu sekarang
bget,banget
perbaikipdhal,perbaiki padahal
restat,restart
ketingal,ketinggalan
dibkin,dibuat
kuburanke,kuburan ke
klok,kalau
okl,oke
peforma,performa
nyabiar,nya biar
ngacir,ngebut
baguscuma,bagus cuma
harijd,hari jadi
karasan,kerasan
kliru,keliru
bosqu,bosku
yahtlg,ya tolong
madet,macet
hrus,harus
bkin,bikin
indo,indonesia
negri,negeri
satelite,satelit
tujan,tujuan
bgtu,begitu
angep,anggap
yagesya,ya guys ya
convert,konversi
mengikutim,mengikuti
ngehang,nge-hang
pembarui,perbarui
pentunjuknya,petunjuknya
pls,tolong
bapa,bapak
bukadan,buka dan
utamadan,utama dan
utamabiarpun,utama biarpun
notifnya,notifikasi-nya
soalna,soalnya
infiniz,infinix
penjelasanya,penjelasannya
cancel,batal
welek,jelek
ne,ini
nyetel,setel
lalulintasnya,lalu lintasnya
updatemalah,update malah
bnrin,benahi
ngan,dengan
akuratsemoga,akurat semoga
diarakhan,diarahkan
changes,perubahan
construction,konstruksi
browsed,jelajah
schol,sekolah
house,rumah
visible,terlihat
konek,hubung
miniman,minuman
dahlah,sudahlah
mdari,dari
kelang,selang
jamera,kamera
didesa,di desa
sei,sungai
sumut,sumatera utara
dngn,dengan
bnar,benar
ngegeser,menggeser
initermasuk,ini termasuk
holing,holding
bisah,bisa
perpetan,perpetaan
beser,besar
purbalinga,purbalingga
erorg,error
biasanyakenapa,biasanya kenapa
minmakin,min makin
sayapanah,sayap panah
bergeraktulisan,bergerak tulisan
menelusurin,menelusuri
terusarah,terus arah
berputarhaduw,berputar haduh
arahnyaslalu,arahnya selalu
alternatip,alternatif
acleng,mencelat
aclenganapakah,mencelat apakah
petcoban,percobaan
vetsi,versi
mpa,map
expres,ekspres
anugrah,anugerah
biasakayak,biasa kayak
viewg,view
akuratcocok,akurat cocok
ojolmantap,ojol mantap
okjelajah,oke jelajah
ngbikin,membuat
gage,ganjil genap
jogjamadiun,jogja madiun
asalgw,asal saya
signyal,sinyal
sihcuma,sih cuma
laluknp,lalu kenapa
rob,banjir rob
sungubagus,sungguh bagus
gakjelas,tidak jelas
gbs,tidak bisa
dinyalain,dinyalakan
excited,semangat
aspekaspek,aspek-aspek
kebudayan,kebudayaan
sapa,siapa
wkwk,tertawa
terbarutampilkan,terbaru tampilkan
sangad,sangat
kon,kamu
trimks,terima kasih
unt,untuk
dongmasih,dong masih
expektasi,ekspektasi
tankz,terima kasih
kyou,terima kasih
nyalain,nyalakan
dipaling,di paling
btw,omong-omong
teuing,tidak tahu
rieut,pusing
nu,yang
kaluar,keluar
hadeueuh,haduh
skarng,sekarang
baguskalo,bagus kalau
sekaliagar,sekali agar
ikelanya,iklannya
macetkena,macet kena
gel,google
ata,atau
dibukaapk,dibuka aplikasi
penalaman,pengalaman
ynag,yang
cowo,cowok
warohmatulohi,warahmatullahi
wbrokatuh,wabarakatuh
ajigdi,anjing di
ajalah,sajalah
smakin,semakin
pempermudah,mempermudah
trbaru,terbaru
sblum,sebelum
siep,siap
hamdphone,handphone
pict,gambar
pakeaku,pakai aku
ketolong,tertolong
whatsafp,whatsapp
telephone,telepon
konsistent,konsisten
kbutuhan,kebutuhan
stay,tetap
mentingin,mementingkan
garaapk,gara-gara aplikasi
ditambahin,ditambahkan
mo,mau
ditaroh,ditaruh
geblek,goblok
cpat,cepat
lanya,lainnya
trpecya,terpercaya
akusuka,aku suka
sangatmembantu,sangat membantu
tb,tiba
terjauhbukanya,terjauh bukannya
terdekatklo,terdekat kalau
ajamuternya,saja memutarnya
kmsering,kamu sering
diammaps,diam maps
tujuanapakah,tujuan apakah
kesengajan,kesengajaan
profit,keuntungan
userjalan,pengguna jalan
merahmacetbukanya,merah macet bukannya
birumenyesatkan,biru menyesatkan
barumakin,baru makin
parahharusnya,parah seharusnya
kebalikanyaparahparah,kebalikannya parah parah
bunting,hamil
until,sampai
cman,cuma
anehdia,aneh dia
aplks,aplikasi
jalanpadahal,jalan padahal
inimohon,ini mohon
lokasititik,lokasi titik
dodol,bodoh
bag,bug
pokokya,pokoknya
tepatagar,tepat agar
perbaik,perbaiki
orange,jingga
abiz,habis
tanks,terima kasih
ngeblast,meledak
kluar,keluar
inijika,ini jika
naikan,naikkan
inout,masuk keluar
menonaktifka,menonaktifkan
navigasisat,navigasi saat
yabelum,ya belum
benarsampai,benar sampai
diangap,dianggap
magnetispadahal,magnetis padahal
belanjan,belanja
ntapsantap,mantap santap
mak,emak
mudahdan,mudah dan
dijangaku,dijangkau
makasi,terima kasih
vibesnya,suasananya
lancarpadahal,lancar padahal
kenyatanya,kenyataannya
srabil,stabil
arahribet,arah ribet
pindahmohon,pindah mohon
dibantuterima,dibantu terima kasih
dirumahdimal,di rumah di mal
singahnyahampir,singgahnya hampir
sinyak,sinyal
samrtphone,smartphone
payahupdate,payah update
gaktau,tidak tahu
nyelakain,mencelakakan
persi,versi
lalod,lelet
sanyat,sangat
sherlock,share lokasi
perbaikiterimakasih,perbaiki terima kasih
nmbah,nambah
kekuatanya,kekuatannya
biruny,birunya
performakadang,performa kadang
dimiat,diminta
uploadverifikasi,unggah verifikasi
router,rute
biasanyaketika,biasanya ketika
tetus,terus
hade,bagus
almt,alamat
gogelmap,google map
sekalo,sekali
samsek,sama sekali
jlsga,jelas tidak
lambattitik,lambat titik
lingkunganya,lingkungannya
aplikai,aplikasi
nginstal,instal
group,grup
touring,tur
park,taman
feature,fitur
important,penting
felow,sesama
riders,pengendara
minus,kurang
kontribusiresponya,kontribusi responnya
jeleknyesatin,jelek menyesatkan
tapikalau,tapi kalau
terabasan,terobosan
samngat,sangat
nyoba,coba
tapiplis,tapi tolong
gmpas,gmaps
sebenernya,sebenarnya
nyebelin,menyebalkan
kesono,ke sana
cewe,cewek
iyo,iya
ilok,masa sih
terimahkasih,terima kasih
beast,terbaik
amet,amat
dpnk,depan
hoki,beruntung
aflikasi,aplikasi
hahaha,tertawa
erorgps,error gps
jelasperbedan,jelas perbedaan
kalbar,kalimantan barat
mengarahkanya,mengarahkannya
busyuk,busuk
dongkol,kesal
delaylambat,tunda lambat
his,dia
reading,membaca
showed,menunjukkan
upcoming,mendatang
oportunities,peluang
acurately,dengan akurat
he,dia
described,menjelaskan
met,bertemu
soulmate,jodoh
greatand,hebat dan
powerful,kuat
guide,panduan
nentuin,menentukan
rutepokoknya,rute pokoknya
stabilanya,stabilnya
oyes,oke
mugi,semoga
completed,selesai
pokoe,pokoknya
printing,percetakan
adaharus,ada harus
besoksekarang,besok sekarang
malammohon,malam mohon
membantuterimakasih,membantu terima kasih
signalnya,sinyalnya
pembaharui,perbarui
membntu,membantu
menyastkangakjelasaneh,menyesatkan tidak jelas aneh
istmewa,istimewa
aeye,saya
ketipu,tertipu
